cell_id,cell_suffix,step_no,step_name,peak_abs_dQdV,peak_voltage,soh_at_peak,cluster
PR_LFP_RPT_REPT_150_0302_0.333C_0.333D_0_100,302,8,CP_DChg,10432.389534954304,3.253982999999917,,1
PR_LFP_RPT_REPT_150_0303_0.333C_0.333D_0_100,303,8,CP_DChg,8588.16176487768,3.2549769999999167,,0
PR_LFP_RPT_REPT_150_0304_0.333C_0.333D_0_100,304,8,CP_DChg,7994.949579887509,3.252996999999917,,0
PR_LFP_RPT_REPT_150_0305_0.333C_0.333D_0_100,305,8,CP_DChg,7060.6999996543245,3.250998999999917,,0
PR_LFP_RPT_REPT_150_0306_0.333C_0.333D_0_100,306,8,CP_DChg,8477.583333329665,3.252998999999917,,0
PR_LFP_RPT_REPT_150_0307_0.333C_0.333D_0_100,307,8,CP_DChg,8697.583332882004,3.235983999999919,,2
PR_LFP_RPT_REPT_150_0308_0.333C_0.333D_0_100,308,8,CP_DChg,11042.999999564176,3.2429749999999182,,1
PR_LFP_RPT_REPT_150_0309_0.333C_0.333D_0_100,309,8,CP_DChg,11566.4166667217,3.2459739999999178,,1
PR_LFP_RPT_REPT_150_0310_0.333C_0.333D_0_100,310,8,CP_DChg,12235.173074784334,3.2419719999999184,,1
PR_LFP_RPT_REPT_150_0311_0.333C_0.333D_0_100,311,8,CP_DChg,11975.149152563945,3.242992999999918,,1
PR_LFP_RPT_REPT_150_0312_0.333C_0.333D_0_100,312,8,CP_DChg,10667.550607349818,3.2489909999999176,,1
PR_LFP_RPT_REPT_150_0313_0.333C_0.333D_0_100,313,8,CP_DChg,12858.559270144937,3.238978999999919,,1
PR_LFP_RPT_REPT_150_0314_0.333C_0.333D_0_100,314,8,CP_DChg,7759.59090987143,3.2399969999999185,,2
PR_LFP_RPT_REPT_150_0315_0.333C_0.333D_0_100,315,8,CP_DChg,6200.500000411153,3.242969999999918,,0
PR_LFP_RPT_REPT_150_0316_0.333C_0.333D_0_100,316,8,CP_DChg,11601.499999367266,3.2389749999999187,,1
PR_LFP_RPT_REPT_150_0317_0.333C_0.333D_0_100,317,8,CP_DChg,9335.17543866609,3.243988999999918,,1
PR_LFP_RPT_REPT_150_0318_0.333C_0.333D_0_100,318,8,CP_DChg,10759.225000280292,3.235971999999919,,2
PR_LFP_RPT_REPT_150_0319_0.333C_0.333D_0_100,319,8,CP_DChg,8635.000000034419,3.254977999999917,,0
PR_LFP_RPT_REPT_150_0320_0.333C_0.333D_0_100,320,8,CP_DChg,11693.666666659956,3.2299989999999195,,2
PR_LFP_RPT_REPT_150_0321_0.333C_0.333D_0_100,321,8,CP_DChg,9499.099999879916,3.2399909999999186,,2
PR_LFP_RPT_REPT_150_0322_0.333C_0.333D_0_100,322,8,CP_DChg,8019.200000021211,3.235971999999919,,2
PR_LFP_RPT_REPT_150_0323_0.333C_0.333D_0_100,323,8,CP_DChg,9223.142857292914,3.246971999999918,,1
PR_LFP_RPT_REPT_150_0324_0.333C_0.333D_0_100,324,8,CP_DChg,8654.928687490674,3.235995999999919,,2
PR_LFP_RPT_REPT_150_0325_0.333C_0.333D_0_100,325,8,CP_DChg,8039.301242256012,3.2409879999999185,,2
