cell_id,cell_suffix,step_no,step_name,peak_abs_dQdV,peak_voltage,soh_at_peak,cluster
PR_LFP_RPT_REPT_150_0348_0.333C_0.333D_0_100,348,2,CCCV_Chg,6592.003205126851,3.39697299999999,0.2099524646002485,0
PR_LFP_RPT_REPT_150_0349_0.333C_0.333D_0_100,349,2,CCCV_Chg,6443.011107753066,3.411882999999992,0.2433882098065392,0
PR_LFP_RPT_REPT_150_0350_0.333C_0.333D_0_100,350,2,CCCV_Chg,8392.33823531105,3.3921979999999907,0.2469987917377689,0
PR_LFP_RPT_REPT_150_0351_0.333C_0.333D_0_100,351,2,CCCV_Chg,3862.30000001102,3.422460999999989,0.3487147800292582,1
PR_LFP_RPT_REPT_150_0352_0.333C_0.333D_0_100,352,2,CCCV_Chg,2134.3333333331607,3.434922999999987,0.2375977873268427,1
PR_LFP_RPT_REPT_150_0353_0.333C_0.333D_0_100,353,2,CCCV_Chg,2593.9145981140523,3.434081999999992,0.1391731777882137,1
PR_LFP_RPT_REPT_150_0354_0.333C_0.333D_0_100,354,2,CCCV_Chg,7719.411764738713,3.3946309999999897,0.321692654817835,0
PR_LFP_RPT_REPT_150_0355_0.333C_0.333D_0_100,355,2,CCCV_Chg,678.4624060147933,3.444033999999992,0.1093153526964988,1
PR_LFP_RPT_REPT_150_0356_0.333C_0.333D_0_100,356,2,CCCV_Chg,8264.919956139482,3.388261999999992,0.1135201862004072,0
PR_LFP_RPT_REPT_150_0357_0.333C_0.333D_0_100,357,2,CCCV_Chg,2322.25000000854,3.4292829999999874,0.2936918217741788,1
PR_LFP_RPT_REPT_150_0358_0.333C_0.333D_0_100,358,2,CCCV_Chg,4781.772435894457,3.42795599999999,0.3379962081673839,1
PR_LFP_RPT_REPT_150_0359_0.333C_0.333D_0_100,359,2,CCCV_Chg,2924.866932861392,3.4324129999999924,0.3875506004794684,1
PR_LFP_RPT_REPT_150_0360_0.333C_0.333D_0_100,360,2,CCCV_Chg,7243.648039213555,3.3869549999999893,0.2608455655857079,0
PR_LFP_RPT_REPT_150_0361_0.333C_0.333D_0_100,361,2,CCCV_Chg,10281.399987340672,3.403277999999992,0.3559685562330293,0
PR_LFP_RPT_REPT_150_0362_0.333C_0.333D_0_100,362,2,CCCV_Chg,4730.124999985769,3.4298039999999896,0.1982477288158791,1
PR_LFP_RPT_REPT_150_0363_0.333C_0.333D_0_100,363,2,CCCV_Chg,6620.32722533913,3.3906539999999925,0.011900308993324,0
PR_LFP_RPT_REPT_150_0364_0.333C_0.333D_0_100,364,2,CCCV_Chg,3375.738271601776,3.3981419999999907,0.0684909312676934,0
PR_LFP_RPT_REPT_150_0365_0.333C_0.333D_0_100,365,2,CCCV_Chg,2858.529605262154,3.4566909999999917,0.2740634381930001,1
PR_LFP_RPT_REPT_150_0366_0.333C_0.333D_0_100,366,2,CCCV_Chg,4545.0578626619445,3.398960999999991,0.1354472181406124,0
PR_LFP_RPT_REPT_150_0367_0.333C_0.333D_0_100,367,2,CCCV_Chg,7563.925000011231,3.412742999999991,0.2825584065997544,0
PR_LFP_RPT_REPT_150_0368_0.333C_0.333D_0_100,368,2,CCCV_Chg,7727.214805807355,3.3963269999999897,0.0160399574597176,0
PR_LFP_RPT_REPT_150_0369_0.333C_0.333D_0_100,369,2,CCCV_Chg,4242.36538460991,3.437050999999989,0.3180116056363128,1
PR_LFP_RPT_REPT_150_0370_0.333C_0.333D_0_100,370,2,CCCV_Chg,6384.449997338078,3.4188629999999898,0.251150223301068,0
PR_LFP_RPT_REPT_150_0371_0.333C_0.333D_0_100,371,2,CCCV_Chg,3727.3728448265297,3.3987779999999925,0.0367923790805166,0
