cell_id,cell_suffix,step_no,step_name,peak_abs_dQdV,peak_voltage,soh_at_peak
PR_LFP_RPT_REPT_150_0351_0.333C_0.333D_0_100,0351,8,CP_DChg,6297.097402896591,3.2499679999999174,
PR_LFP_RPT_REPT_150_0352_0.333C_0.333D_0_100,0352,8,CP_DChg,5771.8333336322185,3.2389939999999187,
PR_LFP_RPT_REPT_150_0353_0.333C_0.333D_0_100,0353,8,CP_DChg,10280.625000020507,3.2489719999999176,
PR_LFP_RPT_REPT_150_0354_0.333C_0.333D_0_100,0354,8,CP_DChg,11471.736842155158,3.251976999999917,
PR_LFP_RPT_REPT_150_0355_0.333C_0.333D_0_100,0355,8,CP_DChg,7853.681818155231,3.2479959999999175,
PR_LFP_RPT_REPT_150_0356_0.333C_0.333D_0_100,0356,8,CP_DChg,7439.800000023061,3.2509919999999175,
PR_LFP_RPT_REPT_150_0357_0.333C_0.333D_0_100,0357,8,CP_DChg,5776.233333269957,3.242988999999918,
PR_LFP_RPT_REPT_150_0358_0.333C_0.333D_0_100,0358,8,CP_DChg,5434.863636336585,3.2489749999999176,
PR_LFP_RPT_REPT_150_0359_0.333C_0.333D_0_100,0359,8,CP_DChg,7020.816176606838,3.2579879999999166,
PR_LFP_RPT_REPT_150_0360_0.333C_0.333D_0_100,0360,8,CP_DChg,8116.8571420462495,3.2559859999999166,
PR_LFP_RPT_REPT_150_0361_0.333C_0.333D_0_100,0361,8,CP_DChg,10043.145833538763,3.2429979999999183,
PR_LFP_RPT_REPT_150_0362_0.333C_0.333D_0_100,0362,8,CP_DChg,5388.705882622267,3.2459769999999177,
PR_LFP_RPT_REPT_150_0363_0.333C_0.333D_0_100,0363,8,CP_DChg,9851.200000130344,3.242985999999918,
PR_LFP_RPT_REPT_150_0364_0.333C_0.333D_0_100,0364,8,CP_DChg,6653.625000563708,3.242982999999918,
PR_LFP_RPT_REPT_150_0365_0.333C_0.333D_0_100,0365,8,CP_DChg,6893.000000408897,3.236968999999919,
PR_LFP_RPT_REPT_150_0366_0.333C_0.333D_0_100,0366,8,CP_DChg,7806.799999956452,3.2479929999999175,
PR_LFP_RPT_REPT_150_0367_0.333C_0.333D_0_100,0367,8,CP_DChg,8051.949999971045,3.236999999999919,
PR_LFP_RPT_REPT_150_0368_0.333C_0.333D_0_100,0368,8,CP_DChg,11255.190476071673,3.2409959999999183,
PR_LFP_RPT_REPT_150_0369_0.333C_0.333D_0_100,0369,8,CP_DChg,6403.875000354555,3.235993999999919,
PR_LFP_RPT_REPT_150_0370_0.333C_0.333D_0_100,0370,8,CP_DChg,6609.566666671689,3.232998999999919,
PR_LFP_RPT_REPT_150_0371_0.333C_0.333D_0_100,0371,8,CP_DChg,8249.76190463143,3.243977999999918,
