,cell_id,cycle_no,abs_max_capacity_cc_dchg,cell_suffix,abs_max_cap_step4,dcir_02,dcir_09,cluster
0,PR_LFP_RPT_REPT_150_0302_0.333C_0.333D_0_100,1,145.525,302,145.525,0.0011235358425633,0.0011326372786865,2
1,PR_LFP_RPT_REPT_150_0303_0.333C_0.333D_0_100,1,149.555,303,149.555,0.0010870702358806,0.0010748876328838,0
2,PR_LFP_RPT_REPT_150_0304_0.333C_0.333D_0_100,1,150.595,304,150.595,0.0010805369891501,0.0011012217322866,0
3,PR_LFP_RPT_REPT_150_0305_0.333C_0.333D_0_100,1,152.347,305,152.347,0.0011047710305122,0.0011425366847742,0
4,PR_LFP_RPT_REPT_150_0306_0.333C_0.333D_0_100,1,152.443,306,152.443,0.0010475528982296,0.0010612547756464,0
5,PR_LFP_RPT_REPT_150_0307_0.333C_0.333D_0_100,1,143.661,307,143.661,0.0012564055281843,0.0013166393020981,3
6,PR_LFP_RPT_REPT_150_0308_0.333C_0.333D_0_100,1,150.951,308,150.951,0.0012305528302715,0.0011822051228888,1
7,PR_LFP_RPT_REPT_150_0309_0.333C_0.333D_0_100,1,152.029,309,152.029,0.0011677881212646,0.0011550044852674,0
8,PR_LFP_RPT_REPT_150_0310_0.333C_0.333D_0_100,1,147.197,310,147.197,0.0012260555172498,0.0012107355731941,2
9,PR_LFP_RPT_REPT_150_0311_0.333C_0.333D_0_100,1,150.865,311,150.865,0.001237053443132,0.0012345898149298,1
10,PR_LFP_RPT_REPT_150_0312_0.333C_0.333D_0_100,1,150.456,312,150.456,0.0011527533429846,0.0011033538617385,0
11,PR_LFP_RPT_REPT_150_0313_0.333C_0.333D_0_100,1,150.56,313,150.56,0.0013063221967639,0.0012695380094649,1
12,PR_LFP_RPT_REPT_150_0314_0.333C_0.333D_0_100,1,150.061,314,150.061,0.001348221565205,0.0012841550510098,1
13,PR_LFP_RPT_REPT_150_0315_0.333C_0.333D_0_100,1,150.906,315,150.906,0.0013295706996977,0.0012439222228525,1
14,PR_LFP_RPT_REPT_150_0316_0.333C_0.333D_0_100,1,151.26,316,151.26,0.0013130540485833,0.0012368534425754,1
15,PR_LFP_RPT_REPT_150_0317_0.333C_0.333D_0_100,1,149.796,317,149.796,0.0012141371578653,0.0011999208263922,2
16,PR_LFP_RPT_REPT_150_0318_0.333C_0.333D_0_100,1,146.219,318,146.219,0.0013789877231109,0.0013186045931393,3
17,PR_LFP_RPT_REPT_150_0319_0.333C_0.333D_0_100,1,148.49,319,148.49,0.0011408549246904,0.0010736711224018,2
18,PR_LFP_RPT_REPT_150_0320_0.333C_0.333D_0_100,1,146.132,320,146.132,0.0013686382148096,0.0013886724528018,3
19,PR_LFP_RPT_REPT_150_0321_0.333C_0.333D_0_100,1,147.687,321,147.687,0.0012274050323606,0.0012073388267249,2
20,PR_LFP_RPT_REPT_150_0322_0.333C_0.333D_0_100,1,150.821,322,150.821,0.0013372036327365,0.0013036548235228,1
21,PR_LFP_RPT_REPT_150_0323_0.333C_0.333D_0_100,1,147.322,323,147.322,0.0011504038346794,0.0011108374619459,2
22,PR_LFP_RPT_REPT_150_0324_0.333C_0.333D_0_100,1,151.105,324,151.105,0.0012954539727255,0.0012587219113412,1
23,PR_LFP_RPT_REPT_150_0325_0.333C_0.333D_0_100,1,148.429,325,148.429,0.00121492124287,0.0011901709314458,2
24,PR_LFP_RPT_REPT_150_0326_0.333C_0.333D_0_100,1,149.904,326,149.904,0.0012858374480131,0.0012584053691962,1
25,PR_LFP_RPT_REPT_150_0327_0.333C_0.333D_0_100,1,146.123,327,146.123,0.0014010203093194,0.0014512727862002,3
26,PR_LFP_RPT_REPT_150_0328_0.333C_0.333D_0_100,1,147.092,328,147.092,0.0013556541799337,0.0013454556284893,3
27,PR_LFP_RPT_REPT_150_0329_0.333C_0.333D_0_100,1,147.085,329,147.085,0.0012853043271912,0.001254488832176,3
28,PR_LFP_RPT_REPT_150_0330_0.333C_0.333D_0_100,1,151.107,330,151.107,0.0011253231372747,0.0010516329302073,0
29,PR_LFP_RPT_REPT_150_0331_0.333C_0.333D_0_100,1,146.885,331,146.885,0.0012007208892017,0.001109604179509,2
30,PR_LFP_RPT_REPT_150_0332_0.333C_0.333D_0_100,1,150.736,332,150.736,0.0013643888363683,0.0013538065885254,1
31,PR_LFP_RPT_REPT_150_0333_0.333C_0.333D_0_100,1,152.863,333,152.863,0.0011157371640309,0.0010652391566407,0
32,PR_LFP_RPT_REPT_150_0334_0.333C_0.333D_0_100,1,150.389,334,150.389,0.00123810431273,0.0011997552989192,1
33,PR_LFP_RPT_REPT_150_0335_0.333C_0.333D_0_100,1,152.457,335,152.457,0.001243288472259,0.0011409204887503,1
34,PR_LFP_RPT_REPT_150_0336_0.333C_0.333D_0_100,1,150.381,336,150.381,0.0013508859900757,0.0012913542399464,1
35,PR_LFP_RPT_REPT_150_0337_0.333C_0.333D_0_100,1,148.725,337,148.725,0.0013646371088293,0.0013352383849852,3
36,PR_LFP_RPT_REPT_150_0338_0.333C_0.333D_0_100,1,148.631,338,148.631,0.0012304873734335,0.0011809042315734,2
37,PR_LFP_RPT_REPT_150_0339_0.333C_0.333D_0_100,1,151.882,339,151.882,0.0012823207273489,0.0012671220941729,1
38,PR_LFP_RPT_REPT_150_0340_0.333C_0.333D_0_100,1,150.608,340,150.608,0.001091187316167,0.0010534209505785,0
39,PR_LFP_RPT_REPT_150_0341_0.333C_0.333D_0_100,1,147.974,341,147.974,0.0012860214035121,0.0012517725917235,3
40,PR_LFP_RPT_REPT_150_0342_0.333C_0.333D_0_100,1,149.729,342,149.729,0.0011630701752616,0.0011129038951636,2
41,PR_LFP_RPT_REPT_150_0343_0.333C_0.333D_0_100,1,151.46,343,151.46,0.0011574875967459,0.0011173041340252,0
42,PR_LFP_RPT_REPT_150_0344_0.333C_0.333D_0_100,1,146.965,344,146.965,0.0012019197115299,0.0011837208294182,2
43,PR_LFP_RPT_REPT_150_0345_0.333C_0.333D_0_100,1,150.216,345,150.216,0.0011048362059074,0.001061920861254,0
44,PR_LFP_RPT_REPT_150_0346_0.333C_0.333D_0_100,1,152.951,346,152.951,0.0010290857688363,0.0009875538185414,0
45,PR_LFP_RPT_REPT_150_0347_0.333C_0.333D_0_100,1,148.669,347,148.669,0.0012359030073639,0.0011552880507595,2
46,PR_LFP_RPT_REPT_150_0348_0.333C_0.333D_0_100,1,150.354,348,150.354,0.0011912692874591,0.0011434375449949,2
47,PR_LFP_RPT_REPT_150_0349_0.333C_0.333D_0_100,1,147.65,349,147.65,0.0013660849726352,0.001308811387794,3
48,PR_LFP_RPT_REPT_150_0350_0.333C_0.333D_0_100,1,152.105,350,152.105,0.0012183875164638,0.0011408866799342,0
49,PR_LFP_RPT_REPT_150_0351_0.333C_0.333D_0_100,1,152.084,351,152.084,0.0012336550374247,0.0011286531414179,0
50,PR_LFP_RPT_REPT_150_0352_0.333C_0.333D_0_100,1,150.167,352,150.167,0.0012854036848238,0.0012297725285823,1
51,PR_LFP_RPT_REPT_150_0353_0.333C_0.333D_0_100,1,147.219,353,147.219,0.0011140027107399,0.0010826043845477,2
52,PR_LFP_RPT_REPT_150_0354_0.333C_0.333D_0_100,1,152.645,354,152.645,0.0011229697548334,0.0010658207700766,0
53,PR_LFP_RPT_REPT_150_0355_0.333C_0.333D_0_100,1,146.43,355,146.43,0.0011297868545023,0.0011122370778648,2
54,PR_LFP_RPT_REPT_150_0356_0.333C_0.333D_0_100,1,150.994,356,150.994,0.0011165195696175,0.0011095718261756,0
55,PR_LFP_RPT_REPT_150_0357_0.333C_0.333D_0_100,1,150.45,357,150.45,0.0012590884116565,0.0011759051935812,1
56,PR_LFP_RPT_REPT_150_0358_0.333C_0.333D_0_100,1,149.379,358,149.379,0.0012164701944302,0.0011182201704231,2
57,PR_LFP_RPT_REPT_150_0359_0.333C_0.333D_0_100,1,148.416,359,148.416,0.0010461367855847,0.0009738874885866,0
58,PR_LFP_RPT_REPT_150_0360_0.333C_0.333D_0_100,1,152.079,360,152.079,0.0010010532701073,0.0009616700164838,0
59,PR_LFP_RPT_REPT_150_0361_0.333C_0.333D_0_100,1,153.349,361,153.349,0.0012645878436966,0.0011983041740928,1
60,PR_LFP_RPT_REPT_150_0362_0.333C_0.333D_0_100,1,149.138,362,149.138,0.0012621037442411,0.0011703716797586,2
61,PR_LFP_RPT_REPT_150_0363_0.333C_0.333D_0_100,1,152.526,363,152.526,0.0012276538466487,0.0011884880872856,1
