cell_id,cell_suffix,date,cv_duration_min,cv_cap_start,cv_cap_end,cv_cap_delta
PR_LFP_RPT_REPT_150_0302_0.333C_0.333D_0_100,0302,2025-11-08,5.16475,144.435,145.506,1.070999999999998
PR_LFP_RPT_REPT_150_0303_0.333C_0.333D_0_100,0303,2025-11-08,9.143516666666667,147.464,149.408,1.9439999999999884
PR_LFP_RPT_REPT_150_0304_0.333C_0.333D_0_100,0304,2025-11-08,12.40145,147.88,150.594,2.7139999999999986
PR_LFP_RPT_REPT_150_0305_0.333C_0.333D_0_100,0305,2025-11-08,11.825050000000001,149.755,152.276,2.521000000000015
PR_LFP_RPT_REPT_150_0306_0.333C_0.333D_0_100,0306,2025-11-08,8.40905,150.617,152.433,1.8160000000000025
PR_LFP_RPT_REPT_150_0307_0.333C_0.333D_0_100,0307,2025-11-11,8.56465,142.491,144.175,1.6839999999999975
PR_LFP_RPT_REPT_150_0308_0.333C_0.333D_0_100,0308,2025-11-11,8.403416666666667,149.45,151.349,1.899000000000001
PR_LFP_RPT_REPT_150_0309_0.333C_0.333D_0_100,0309,2025-11-11,7.60605,150.561,152.231,1.6699999999999875
PR_LFP_RPT_REPT_150_0310_0.333C_0.333D_0_100,0310,2025-11-11,11.70135,146.019,148.067,2.048000000000002
PR_LFP_RPT_REPT_150_0311_0.333C_0.333D_0_100,0311,2025-11-11,9.965966666666667,149.145,151.296,2.150999999999982
PR_LFP_RPT_REPT_150_0312_0.333C_0.333D_0_100,0312,2025-11-11,14.681433333333333,148.451,151.229,2.77800000000002
PR_LFP_RPT_REPT_150_0313_0.333C_0.333D_0_100,0313,2025-11-11,7.713533333333333,149.172,150.922,1.75
PR_LFP_RPT_REPT_150_0314_0.333C_0.333D_0_100,0314,2025-11-11,11.795883333333334,148.742,150.876,2.1340000000000146
PR_LFP_RPT_REPT_150_0315_0.333C_0.333D_0_100,0315,2025-11-11,8.263783333333333,149.964,151.547,1.5829999999999984
PR_LFP_RPT_REPT_150_0316_0.333C_0.333D_0_100,0316,2025-11-11,8.255366666666667,150.382,152.0,1.617999999999995
PR_LFP_RPT_REPT_150_0317_0.333C_0.333D_0_100,0317,2025-11-11,16.572166666666668,147.465,150.739,3.274000000000001
PR_LFP_RPT_REPT_150_0318_0.333C_0.333D_0_100,0318,2025-11-11,10.833183333333332,145.118,147.004,1.8859999999999957
PR_LFP_RPT_REPT_150_0319_0.333C_0.333D_0_100,0319,2025-11-11,7.8087,147.604,149.029,1.424999999999983
