cell_id,cell_suffix,date,cv_duration_min,cv_cap_start,cv_cap_end,cv_cap_delta
PR_LFP_RPT_REPT_150_0354_0.333C_0.333D_0_100,0354,2025-11-10,40.35048333333334,112.935,121.803,8.867999999999995
PR_LFP_RPT_REPT_150_0355_0.333C_0.333D_0_100,0355,2025-11-10,40.85411666666666,17.681,24.1,6.4190000000000005
PR_LFP_RPT_REPT_150_0356_0.333C_0.333D_0_100,0356,2025-11-10,16.868283333333334,111.477,114.93,3.453000000000003
PR_LFP_RPT_REPT_150_0357_0.333C_0.333D_0_100,0357,2025-11-10,27.48305,74.336,79.891,5.555000000000007
PR_LFP_RPT_REPT_150_0358_0.333C_0.333D_0_100,0358,2025-11-10,17.9322,64.613,68.041,3.4279999999999973
PR_LFP_RPT_REPT_150_0359_0.333C_0.333D_0_100,0359,2025-11-10,42.1685,35.042,42.853,7.811
PR_LFP_RPT_REPT_150_0360_0.333C_0.333D_0_100,0360,2025-11-10,44.845616666666665,111.92,121.741,9.820999999999998
PR_LFP_RPT_REPT_150_0361_0.333C_0.333D_0_100,0361,2025-11-10,13.6209,113.768,116.764,2.995999999999995
PR_LFP_RPT_REPT_150_0362_0.333C_0.333D_0_100,0362,2025-11-10,18.530616666666667,64.46,68.026,3.5660000000000025
PR_LFP_RPT_REPT_150_0363_0.333C_0.333D_0_100,0363,2025-11-10,14.045866666666665,113.128,116.272,3.1440000000000055
PR_LFP_RPT_REPT_150_0364_0.333C_0.333D_0_100,0364,2025-11-10,39.10353333333333,82.336,89.941,7.605000000000004
PR_LFP_RPT_REPT_150_0365_0.333C_0.333D_0_100,0365,2025-11-10,30.87226666666667,32.389,38.305,5.915999999999997
PR_LFP_RPT_REPT_150_0366_0.333C_0.333D_0_100,0366,2025-11-10,27.520966666666666,104.753,110.129,5.376000000000005
PR_LFP_RPT_REPT_150_0367_0.333C_0.333D_0_100,0367,2025-11-10,32.66331666666667,101.934,108.849,6.915000000000006
PR_LFP_RPT_REPT_150_0368_0.333C_0.333D_0_100,0368,2025-11-10,14.901483333333335,110.878,114.088,3.2099999999999937
PR_LFP_RPT_REPT_150_0369_0.333C_0.333D_0_100,0369,2025-11-10,28.5949,64.432,69.966,5.533999999999992
PR_LFP_RPT_REPT_150_0370_0.333C_0.333D_0_100,0370,2025-11-10,41.05675,100.003,108.747,8.744
PR_LFP_RPT_REPT_150_0371_0.333C_0.333D_0_100,0371,2025-11-10,29.896083333333333,83.238,89.543,6.305000000000007
