step_no,step_name,cell_id,cell_suffix,cv_duration_min,cv_cap_delta,cluster
2,CCCV_Chg,PR_LFP_RPT_REPT_150_0302_0.333C_0.333D_0_100,302,2.0542333333333334,0.3189999999999955,2
2,CCCV_Chg,PR_LFP_RPT_REPT_150_0303_0.333C_0.333D_0_100,303,0.0004,0.0,2
2,CCCV_Chg,PR_LFP_RPT_REPT_150_0304_0.333C_0.333D_0_100,304,0.0,0.0,2
2,CCCV_Chg,PR_LFP_RPT_REPT_150_0305_0.333C_0.333D_0_100,305,0.0,0.0,2
2,CCCV_Chg,PR_LFP_RPT_REPT_150_0306_0.333C_0.333D_0_100,306,0.6246666666666666,0.0259999999999999,2
2,CCCV_Chg,PR_LFP_RPT_REPT_150_0307_0.333C_0.333D_0_100,307,16.787016666666666,2.6439999999999984,0
2,CCCV_Chg,PR_LFP_RPT_REPT_150_0308_0.333C_0.333D_0_100,308,17.8993,3.989999999999995,0
2,CCCV_Chg,PR_LFP_RPT_REPT_150_0309_0.333C_0.333D_0_100,309,15.0622,3.376999999999996,0
2,CCCV_Chg,PR_LFP_RPT_REPT_150_0310_0.333C_0.333D_0_100,310,39.58008333333333,7.244,1
2,CCCV_Chg,PR_LFP_RPT_REPT_150_0311_0.333C_0.333D_0_100,311,20.150133333333333,4.432999999999993,0
2,CCCV_Chg,PR_LFP_RPT_REPT_150_0312_0.333C_0.333D_0_100,312,47.024683333333336,10.173000000000002,1
2,CCCV_Chg,PR_LFP_RPT_REPT_150_0313_0.333C_0.333D_0_100,313,16.73633333333333,3.733000000000004,0
2,CCCV_Chg,PR_LFP_RPT_REPT_150_0314_0.333C_0.333D_0_100,314,30.29905,5.626999999999995,3
2,CCCV_Chg,PR_LFP_RPT_REPT_150_0315_0.333C_0.333D_0_100,315,25.48456666666667,4.905000000000001,3
2,CCCV_Chg,PR_LFP_RPT_REPT_150_0316_0.333C_0.333D_0_100,316,27.218366666666668,5.48299999999999,3
2,CCCV_Chg,PR_LFP_RPT_REPT_150_0317_0.333C_0.333D_0_100,317,58.23406666666666,12.745000000000005,1
2,CCCV_Chg,PR_LFP_RPT_REPT_150_0318_0.333C_0.333D_0_100,318,30.194566666666667,5.745000000000001,3
2,CCCV_Chg,PR_LFP_RPT_REPT_150_0319_0.333C_0.333D_0_100,319,18.40765,3.1710000000000065,0
2,CCCV_Chg,PR_LFP_RPT_REPT_150_0320_0.333C_0.333D_0_100,320,27.946383333333333,5.723999999999997,3
2,CCCV_Chg,PR_LFP_RPT_REPT_150_0321_0.333C_0.333D_0_100,321,22.292366666666663,4.814,0
2,CCCV_Chg,PR_LFP_RPT_REPT_150_0322_0.333C_0.333D_0_100,322,27.353383333333333,5.809000000000005,3
