,cell_suffix,abs_max_cap_step4,dcir_02,dcir_09,cluster
0,0302,145.525,0.0011235358425633,0.0011326372786865,2
1,0303,149.555,0.0010870702358806,0.0010748876328838,0
2,0304,150.595,0.0010805369891501,0.0011012217322866,0
3,0305,152.347,0.0011047710305122,0.0011425366847742,0
4,0306,152.443,0.0010475528982296,0.0010612547756464,0
5,0307,143.661,0.0012564055281843,0.0013166393020981,3
6,0308,150.951,0.0012305528302715,0.0011822051228888,1
7,0309,152.029,0.0011677881212646,0.0011550044852674,0
8,0310,147.197,0.0012260555172498,0.0012107355731941,2
9,0311,150.865,0.001237053443132,0.0012345898149298,1
10,0312,150.456,0.0011527533429846,0.0011033538617385,0
11,0313,150.56,0.0013063221967639,0.0012695380094649,1
12,0314,150.061,0.001348221565205,0.0012841550510098,1
13,0315,150.906,0.0013295706996977,0.0012439222228525,1
14,0316,151.26,0.0013130540485833,0.0012368534425754,1
15,0317,149.796,0.0012141371578653,0.0011999208263922,2
16,0318,146.219,0.0013789877231109,0.0013186045931393,3
17,0319,148.49,0.0011408549246904,0.0010736711224018,2
18,0320,146.132,0.0013686382148096,0.0013886724528018,3
19,0321,147.687,0.0012274050323606,0.0012073388267249,2
20,0322,150.821,0.0013372036327365,0.0013036548235228,1
21,0323,147.322,0.0011504038346794,0.0011108374619459,2
22,0324,151.105,0.0012954539727255,0.0012587219113412,1
23,0325,148.429,0.00121492124287,0.0011901709314458,2
24,0326,149.904,0.0012858374480131,0.0012584053691962,1
25,0327,146.123,0.0014010203093194,0.0014512727862002,3
26,0328,147.092,0.0013556541799337,0.0013454556284893,3
27,0329,147.085,0.0012853043271912,0.001254488832176,3
28,0330,151.107,0.0011253231372747,0.0010516329302073,0
29,0331,146.885,0.0012007208892017,0.001109604179509,2
30,0332,150.736,0.0013643888363683,0.0013538065885254,1
31,0333,152.863,0.0011157371640309,0.0010652391566407,0
32,0334,150.389,0.00123810431273,0.0011997552989192,1
33,0335,152.457,0.001243288472259,0.0011409204887503,1
34,0336,150.381,0.0013508859900757,0.0012913542399464,1
35,0337,148.725,0.0013646371088293,0.0013352383849852,3
36,0338,148.631,0.0012304873734335,0.0011809042315734,2
37,0339,151.882,0.0012823207273489,0.0012671220941729,1
38,0340,150.608,0.001091187316167,0.0010534209505785,0
39,0341,147.974,0.0012860214035121,0.0012517725917235,3
40,0342,149.729,0.0011630701752616,0.0011129038951636,2
41,0343,151.46,0.0011574875967459,0.0011173041340252,0
42,0344,146.965,0.0012019197115299,0.0011837208294182,2
43,0345,150.216,0.0011048362059074,0.001061920861254,0
44,0346,152.951,0.0010290857688363,0.0009875538185414,0
45,0347,148.669,0.0012359030073639,0.0011552880507595,2
46,0348,150.354,0.0011912692874591,0.0011434375449949,2
47,0349,147.65,0.0013660849726352,0.001308811387794,3
48,0350,152.105,0.0012183875164638,0.0011408866799342,0
49,0351,152.084,0.0012336550374247,0.0011286531414179,0
50,0352,150.167,0.0012854036848238,0.0012297725285823,1
51,0353,147.219,0.0011140027107399,0.0010826043845477,2
52,0354,152.645,0.0011229697548334,0.0010658207700766,0
53,0355,146.43,0.0011297868545023,0.0011122370778648,2
54,0356,150.994,0.0011165195696175,0.0011095718261756,0
55,0357,150.45,0.0012590884116565,0.0011759051935812,1
56,0358,149.379,0.0012164701944302,0.0011182201704231,2
57,0359,148.416,0.0010461367855847,0.0009738874885866,0
58,0360,152.079,0.0010010532701073,0.0009616700164838,0
59,0361,153.349,0.0012645878436966,0.0011983041740928,1
60,0362,149.138,0.0012621037442411,0.0011703716797586,2
61,0363,152.526,0.0012276538466487,0.0011884880872856,1
62,0364,148.574,0.0012131706903494,0.0011468708145161,2
63,0365,146.896,0.0013333041776864,0.0012744541419759,3
64,0366,151.981,0.0012137360440105,0.001083587523205,0
65,0367,150.618,0.0012979554730455,0.0012788892375386,1
66,0368,150.362,0.0012498032078282,0.001198537767923,1
67,0369,150.152,0.001343070158649,0.0012773711374656,1
68,0370,149.521,0.0013379202344539,0.0013532056383568,1
69,0371,148.241,0.0012419183225577,0.0011736869130784,2
