Cycle No,Step No,Step name,Absolute time,volt(V),Current(A),Capacity(Ah),Energy(Wh),Power(mW),Internal R(Ω),Charging energy(Wh),Discharge energy(Wh),Charging capacity(Ah),Discharge capacity(Ah),SoC(%)
1,1,Rest,2025-11-08 11:53:37.042,2.857632,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:38.045,2.857628,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:39.043,2.857638,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:40.044,2.857642,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:41.043,2.85764,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:42.013,2.85764,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:43.013,2.857646,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:44.013,2.857653,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:45.014,2.857656,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:46.015,2.85766,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:47.016,2.857656,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:48.017,2.857653,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:49.018,2.857666,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:50.020,2.857664,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:51.017,2.857661,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:52.018,2.857664,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:53.018,2.857659,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:54.002,2.857667,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:55.002,2.85767,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:56.001,2.857672,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:57.001,2.857671,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:58.000,2.857677,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:59.001,2.85768,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:00.018,2.857678,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:01.015,2.857686,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:02.018,2.857688,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:03.018,2.857688,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:04.017,2.85768,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:05.015,2.857695,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:06.015,2.857704,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:06.999,2.8577,0.0,0.0,0.0,0.0,0.0009,0.0,0.0,0.0,0.0,
1,2,CCCV_Chg,2025-11-08 11:54:07.036,2.895006,8.442596,0.0,0.0,24441.366076,0.0009,0.0,0.0,0.0,0.0,0.0
1,2,CCCV_Chg,2025-11-08 11:54:08.038,2.91273,49.997573,0.013,0.039969,145629.430804,0.0009,0.039969,0.0,0.013,0.0,0.008666666666666666
1,2,CCCV_Chg,2025-11-08 11:54:09.038,2.917228,49.998056,0.027,0.080493,145855.728909,0.0009,0.080493,0.0,0.027,0.0,0.018000000000000002
1,2,CCCV_Chg,2025-11-08 11:54:10.038,2.920786,49.998201,0.041,0.121016,146034.045506,0.0009,0.121016,0.0,0.041,0.0,0.027333333333333338
1,2,CCCV_Chg,2025-11-08 11:54:11.036,2.924046,49.998683,0.055,0.161623,146198.449031,0.0009,0.161623,0.0,0.055,0.0,0.03666666666666667
1,2,CCCV_Chg,2025-11-08 11:54:12.036,2.927028,49.998731,0.069,0.202259,146347.685601,0.0009,0.202259,0.0,0.069,0.0,0.046
1,2,CCCV_Chg,2025-11-08 11:54:13.039,2.929808,49.998499,0.083,0.242901,146486.002358,0.0009,0.242901,0.0,0.083,0.0,0.05533333333333334
1,2,CCCV_Chg,2025-11-08 11:54:14.036,2.93243,49.998757,0.097,0.283638,146617.85499,0.0009,0.283638,0.0,0.097,0.0,0.06466666666666668
1,2,CCCV_Chg,2025-11-08 11:54:15.037,2.93494,49.998565,0.11,0.324457,146742.788361,0.0009,0.324457,0.0,0.11,0.0,0.07333333333333333
1,2,CCCV_Chg,2025-11-08 11:54:16.039,2.937348,49.998745,0.124,0.365128,146863.713628,0.0009,0.365128,0.0,0.124,0.0,0.08266666666666667
1,2,CCCV_Chg,2025-11-08 11:54:17.036,2.93967,49.99878,0.138,0.406003,146979.913603,0.0009,0.406003,0.0,0.138,0.0,0.092
1,2,CCCV_Chg,2025-11-08 11:54:18.005,2.941925,49.998693,0.152,0.446766,147092.404904,0.0009,0.446766,0.0,0.152,0.0,0.10133333333333333
1,2,CCCV_Chg,2025-11-08 11:54:19.006,2.944115,49.998606,0.166,0.487641,147201.645904,0.0009,0.487641,0.0,0.166,0.0,0.11066666666666668
1,2,CCCV_Chg,2025-11-08 11:54:20.006,2.946239,49.998743,0.18,0.528573,147308.246578,0.0009,0.528573,0.0,0.18,0.0,0.12
1,2,CCCV_Chg,2025-11-08 11:54:21.005,2.948321,49.998859,0.194,0.569467,147412.685966,0.0009,0.569467,0.0,0.194,0.0,0.12933333333333336
1,2,CCCV_Chg,2025-11-08 11:54:22.007,2.950348,49.998811,0.208,0.610455,147513.892036,0.0009,0.6104550000000001,0.0,0.208,0.0,0.13866666666666666
1,2,CCCV_Chg,2025-11-08 11:54:23.004,2.952341,49.998725,0.222,0.651418,147613.285765,0.0009,0.651418,0.0,0.222,0.0,0.148
1,2,CCCV_Chg,2025-11-08 11:54:24.000,2.954286,49.998664,0.235,0.692438,147710.353074,0.0009,0.692438,0.0,0.235,0.0,0.15666666666666668
1,2,CCCV_Chg,2025-11-08 11:54:25.000,2.956193,49.998954,0.249,0.733578,147806.557822,0.0009,0.733578,0.0,0.249,0.0,0.16599999999999998
1,2,CCCV_Chg,2025-11-08 11:54:25.999,2.958091,49.998782,0.263,0.774624,147900.947045,0.0009,0.774624,0.0,0.263,0.0,0.17533333333333334
1,2,CCCV_Chg,2025-11-08 11:54:27.000,2.959939,49.998757,0.277,0.815666,147993.270796,0.0009,0.815666,0.0,0.277,0.0,0.18466666666666667
1,2,CCCV_Chg,2025-11-08 11:54:28.002,2.961754,49.998779,0.291,0.856764,148084.083698,0.0009,0.856764,0.0,0.291,0.0,0.19399999999999998
1,2,CCCV_Chg,2025-11-08 11:54:28.999,2.963541,49.998754,0.305,0.898,148173.357428,0.0009,0.898,0.0,0.305,0.0,0.20333333333333334
1,2,CCCV_Chg,2025-11-08 11:54:30.000,2.96529,49.998846,0.319,0.939079,148261.078055,0.0009,0.939079,0.0,0.319,0.0,0.21266666666666667
1,2,CCCV_Chg,2025-11-08 11:54:31.001,2.967026,49.998751,0.333,0.980264,148347.594185,0.0009,0.980264,0.0,0.333,0.0,0.22200000000000003
1,2,CCCV_Chg,2025-11-08 11:54:32.001,2.968733,49.99878,0.347,1.021479,148433.028146,0.0009,1.021479,0.0,0.347,0.0,0.2313333333333333
1,2,CCCV_Chg,2025-11-08 11:54:33.002,2.970419,49.998868,0.36,1.062753,148517.587486,0.0009,1.0627529999999998,0.0,0.36,0.0,0.24
1,2,CCCV_Chg,2025-11-08 11:54:34.001,2.972099,49.998752,0.374,1.103993,148601.24082,0.0009,1.103993,0.0,0.374,0.0,0.24933333333333332
1,2,CCCV_Chg,2025-11-08 11:54:34.999,2.973739,49.99884,0.388,1.145366,148683.500463,0.0009,1.145366,0.0,0.388,0.0,0.2586666666666667
1,2,CCCV_Chg,2025-11-08 11:54:36.020,2.975367,49.998852,0.402,1.186596,148764.934279,0.0009,1.186596,0.0,0.402,0.0,0.268
1,2,CCCV_Chg,2025-11-08 11:54:37.020,2.976962,49.998899,0.416,1.227912,148844.822365,0.0009,1.227912,0.0,0.416,0.0,0.2773333333333333
1,2,CCCV_Chg,2025-11-08 11:54:38.021,2.97855,49.998893,0.43,1.2693,148924.202745,0.0009,1.2693,0.0,0.43,0.0,0.2866666666666667
1,2,CCCV_Chg,2025-11-08 11:54:39.019,2.980107,49.998717,0.444,1.310638,149001.526523,0.0009,1.310638,0.0,0.444,0.0,0.296
1,2,CCCV_Chg,2025-11-08 11:54:40.019,2.981645,49.998805,0.458,1.352129,149078.686934,0.0009,1.352129,0.0,0.458,0.0,0.30533333333333335
1,2,CCCV_Chg,2025-11-08 11:54:41.019,2.983169,49.99893,0.472,1.393556,149155.258009,0.0009,1.393556,0.0,0.472,0.0,0.31466666666666665
1,2,CCCV_Chg,2025-11-08 11:54:42.016,2.98469,49.998879,0.485,1.434902,149231.154163,0.0009,1.434902,0.0,0.485,0.0,0.3233333333333333
1,2,CCCV_Chg,2025-11-08 11:54:43.019,2.98619,49.998879,0.499,1.476376,149306.152481,0.0009,1.476376,0.0,0.499,0.0,0.33266666666666667
1,2,CCCV_Chg,2025-11-08 11:54:44.019,2.987668,49.998951,0.513,1.517862,149380.265936,0.0009,1.517862,0.0,0.513,0.0,0.342
1,2,CCCV_Chg,2025-11-08 11:54:45.020,2.989136,49.998889,0.527,1.559399,149453.47907,0.0009,1.559399,0.0,0.527,0.0,0.35133333333333333
1,2,CCCV_Chg,2025-11-08 11:54:46.016,2.990568,49.998858,0.541,1.600876,149524.984771,0.0009,1.600876,0.0,0.541,0.0,0.3606666666666667
