Cycle No,Step No,Step name,Absolute time,volt(V),Current(A),Capacity(Ah),Energy(Wh),Power(mW),Internal R(Ω),Charging energy(Wh),Discharge energy(Wh),Charging capacity(Ah),Discharge capacity(Ah),SoC(%)
1,1,Rest,2025-11-08 11:53:36.944,2.979427,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:37.946,2.979423,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:38.944,2.979426,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:39.946,2.979427,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:40.946,2.979428,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:41.944,2.979425,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:42.915,2.979432,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:43.916,2.979433,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:44.916,2.979434,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:45.916,2.979433,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:46.915,2.979437,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:47.915,2.979426,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:48.920,2.979435,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:49.921,2.979435,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:50.921,2.979426,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:51.922,2.979433,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:52.921,2.97943,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:53.921,2.979425,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:54.902,2.97944,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:55.904,2.979432,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:56.905,2.979431,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:57.902,2.979425,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:58.902,2.979428,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:59.902,2.979432,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:00.917,2.979438,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:01.920,2.979438,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:02.918,2.979434,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:03.917,2.979435,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:04.919,2.979441,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:05.918,2.979437,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:06.900,2.979444,0.0,0.0,0.0,0.0,0.0008,0.0,0.0,0.0,0.0,
1,2,CCCV_Chg,2025-11-08 11:54:06.942,3.019471,26.769497,0.0,0.0,80829.719876,0.0008,0.0,0.0,0.0,0.0,0.0
1,2,CCCV_Chg,2025-11-08 11:54:07.942,3.030885,49.99848,0.013,0.041831,151539.643055,0.0008,0.041831,0.0,0.013,0.0,0.008666666666666666
1,2,CCCV_Chg,2025-11-08 11:54:08.945,3.034966,49.998645,0.027,0.084042,151744.187621,0.0008,0.084042,0.0,0.027,0.0,0.018000000000000002
1,2,CCCV_Chg,2025-11-08 11:54:09.943,3.038039,49.998084,0.041,0.126134,151896.129117,0.0008,0.126134,0.0,0.041,0.0,0.027333333333333338
1,2,CCCV_Chg,2025-11-08 11:54:10.942,3.040738,49.998611,0.055,0.168338,152032.676415,0.0008,0.168338,0.0,0.055,0.0,0.03666666666666667
1,2,CCCV_Chg,2025-11-08 11:54:11.944,3.043142,49.998683,0.069,0.210629,152153.092182,0.0008,0.2106289999999999,0.0,0.069,0.0,0.046
1,2,CCCV_Chg,2025-11-08 11:54:12.943,3.045333,49.998677,0.083,0.252901,152262.621024,0.0008,0.252901,0.0,0.083,0.0,0.05533333333333334
1,2,CCCV_Chg,2025-11-08 11:54:13.945,3.047361,49.998918,0.097,0.295201,152364.752755,0.0008,0.295201,0.0,0.097,0.0,0.06466666666666668
1,2,CCCV_Chg,2025-11-08 11:54:14.945,3.049285,49.998824,0.111,0.337518,152460.664041,0.0008,0.337518,0.0,0.111,0.0,0.074
1,2,CCCV_Chg,2025-11-08 11:54:15.943,3.051104,49.998866,0.124,0.379926,152551.740048,0.0008,0.379926,0.0,0.124,0.0,0.08266666666666667
1,2,CCCV_Chg,2025-11-08 11:54:16.944,3.052839,49.998702,0.138,0.422338,152637.987415,0.0008,0.422338,0.0,0.138,0.0,0.092
1,2,CCCV_Chg,2025-11-08 11:54:17.943,3.054515,49.998948,0.152,0.464702,152722.53665,0.0008,0.464702,0.0,0.152,0.0,0.10133333333333333
1,2,CCCV_Chg,2025-11-08 11:54:18.911,3.056124,49.99877,0.166,0.507187,152802.440967,0.0008,0.507187,0.0,0.166,0.0,0.11066666666666668
1,2,CCCV_Chg,2025-11-08 11:54:19.910,3.057687,49.998739,0.18,0.549572,152880.494257,0.0008,0.549572,0.0,0.18,0.0,0.12
1,2,CCCV_Chg,2025-11-08 11:54:20.913,3.059188,49.998885,0.194,0.592043,152955.989005,0.0008,0.592043,0.0,0.194,0.0,0.12933333333333336
1,2,CCCV_Chg,2025-11-08 11:54:21.909,3.060657,49.998656,0.208,0.634545,153028.736477,0.0008,0.6345449999999999,0.0,0.208,0.0,0.13866666666666666
1,2,CCCV_Chg,2025-11-08 11:54:22.911,3.062091,49.998843,0.222,0.677088,153101.007161,0.0008,0.6770879999999999,0.0,0.222,0.0,0.148
1,2,CCCV_Chg,2025-11-08 11:54:23.909,3.063478,49.998841,0.236,0.719577,153170.349429,0.0008,0.719577,0.0,0.236,0.0,0.15733333333333333
1,2,CCCV_Chg,2025-11-08 11:54:24.907,3.064848,49.998809,0.249,0.762121,153238.749766,0.0008,0.7621209999999999,0.0,0.249,0.0,0.16599999999999998
1,2,CCCV_Chg,2025-11-08 11:54:25.905,3.066197,49.998879,0.263,0.804722,153306.412793,0.0008,0.8047219999999999,0.0,0.263,0.0,0.17533333333333334
1,2,CCCV_Chg,2025-11-08 11:54:26.907,3.067508,49.99885,0.277,0.847362,153371.872366,0.0008,0.847362,0.0,0.277,0.0,0.18466666666666667
1,2,CCCV_Chg,2025-11-08 11:54:27.908,3.068783,49.998834,0.291,0.889931,153435.571799,0.0008,0.889931,0.0,0.291,0.0,0.19399999999999998
1,2,CCCV_Chg,2025-11-08 11:54:28.908,3.070044,49.998761,0.305,0.932536,153498.396215,0.0008,0.932536,0.0,0.305,0.0,0.20333333333333334
1,2,CCCV_Chg,2025-11-08 11:54:29.906,3.071266,49.998927,0.319,0.975228,153560.004532,0.0008,0.975228,0.0,0.319,0.0,0.21266666666666667
1,2,CCCV_Chg,2025-11-08 11:54:30.909,3.072487,49.998937,0.333,1.017839,153621.083946,0.0008,1.0178390000000002,0.0,0.333,0.0,0.22200000000000003
1,2,CCCV_Chg,2025-11-08 11:54:31.907,3.073679,49.998897,0.347,1.060592,153680.559732,0.0008,1.0605920000000002,0.0,0.347,0.0,0.2313333333333333
1,2,CCCV_Chg,2025-11-08 11:54:32.906,3.074857,49.998808,0.361,1.103228,153739.18477,0.0008,1.103228,0.0,0.361,0.0,0.24066666666666667
1,2,CCCV_Chg,2025-11-08 11:54:33.909,3.076023,49.99897,0.374,1.145942,153797.981696,0.0008,1.145942,0.0,0.374,0.0,0.24933333333333332
1,2,CCCV_Chg,2025-11-08 11:54:34.906,3.077168,49.998832,0.388,1.188688,153854.805868,0.0008,1.1886880000000002,0.0,0.388,0.0,0.2586666666666667
1,2,CCCV_Chg,2025-11-08 11:54:35.908,3.078301,49.99906,0.402,1.231407,153912.156397,0.0008,1.231407,0.0,0.402,0.0,0.268
1,2,CCCV_Chg,2025-11-08 11:54:36.926,3.079403,49.998893,0.416,1.274209,153966.741101,0.0008,1.274209,0.0,0.416,0.0,0.2773333333333333
1,2,CCCV_Chg,2025-11-08 11:54:37.926,3.080503,49.998945,0.43,1.316977,154021.900069,0.0008,1.316977,0.0,0.43,0.0,0.2866666666666667
1,2,CCCV_Chg,2025-11-08 11:54:38.926,3.081572,49.998782,0.444,1.35975,154074.846645,0.0008,1.35975,0.0,0.444,0.0,0.296
1,2,CCCV_Chg,2025-11-08 11:54:39.929,3.082633,49.998745,0.458,1.402526,154127.781296,0.0008,1.4025260000000002,0.0,0.458,0.0,0.30533333333333335
1,2,CCCV_Chg,2025-11-08 11:54:40.926,3.083689,49.99894,0.472,1.445374,154181.18129,0.0008,1.445374,0.0,0.472,0.0,0.31466666666666665
1,2,CCCV_Chg,2025-11-08 11:54:41.928,3.084729,49.998881,0.486,1.488163,154232.998188,0.0008,1.488163,0.0,0.486,0.0,0.324
1,2,CCCV_Chg,2025-11-08 11:54:42.924,3.085767,49.998848,0.499,1.531002,154284.795196,0.0008,1.531002,0.0,0.499,0.0,0.33266666666666667
1,2,CCCV_Chg,2025-11-08 11:54:43.925,3.086788,49.99885,0.513,1.573876,154335.850194,0.0008,1.573876,0.0,0.513,0.0,0.342
1,2,CCCV_Chg,2025-11-08 11:54:44.925,3.087797,49.999,0.527,1.616772,154386.762203,0.0008,1.616772,0.0,0.527,0.0,0.35133333333333333
1,2,CCCV_Chg,2025-11-08 11:54:45.923,3.08878,49.998872,0.541,1.659719,154435.515856,0.0008,1.659719,0.0,0.541,0.0,0.3606666666666667
1,2,CCCV_Chg,2025-11-08 11:54:46.923,3.089775,49.999024,0.555,1.702542,154485.73438,0.0008,1.702542,0.0,0.555,0.0,0.37000000000000005
1,2,CCCV_Chg,2025-11-08 11:54:47.925,3.090753,49.998889,0.569,1.745469,154534.216173,0.0008,1.7454690000000002,0.0,0.569,0.0,0.3793333333333333
1,2,CCCV_Chg,2025-11-08 11:54:48.913,3.09172,49.998852,0.583,1.788397,154582.450705,0.0008,1.788397,0.0,0.583,0.0,0.38866666666666666
1,2,CCCV_Chg,2025-11-08 11:54:49.914,3.092673,49.998975,0.597,1.831337,154630.48001,0.0008,1.831337,0.0,0.597,0.0,0.39799999999999996
