Cycle No,Step No,Step name,Absolute time,volt(V),Current(A),Capacity(Ah),Energy(Wh),Power(mW),Internal R(Ω),Charging energy(Wh),Discharge energy(Wh),Charging capacity(Ah),Discharge capacity(Ah),SoC(%)
1,1,Rest,2025-11-08 11:53:51.153,2.948101,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:52.155,2.948103,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:53.155,2.948103,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:54.128,2.948102,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:55.129,2.948108,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:56.128,2.948099,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:57.128,2.948098,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:58.130,2.948098,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:53:59.130,2.948095,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:00.128,2.948099,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:01.129,2.948103,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:02.129,2.948096,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:03.128,2.948105,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:04.129,2.948107,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:05.129,2.948112,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:06.149,2.948102,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:07.150,2.948122,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:08.150,2.94812,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:09.149,2.948122,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:10.149,2.948111,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:11.151,2.948098,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:12.126,2.948106,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:13.127,2.94811,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:14.125,2.948109,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:15.125,2.948108,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:16.127,2.948117,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:17.127,2.948112,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:18.139,2.948114,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:19.139,2.948109,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:20.140,2.948144,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,1,Rest,2025-11-08 11:54:21.140,2.948132,0.0,0.0,0.0,0.0,0.0007,0.0,0.0,0.0,0.0,
1,2,CCCV_Chg,2025-11-08 11:54:21.172,2.981482,10.378676,0.0,0.0,30943.835678,0.0007,0.0,0.0,0.0,0.0,0.0
1,2,CCCV_Chg,2025-11-08 11:54:22.173,2.997927,49.997909,0.013,0.041182,149890.081335,0.0007,0.041182,0.0,0.013,0.0,0.008666666666666666
1,2,CCCV_Chg,2025-11-08 11:54:23.172,3.002285,49.99854,0.027,0.082862,150109.866664,0.0007,0.0828619999999999,0.0,0.027,0.0,0.018000000000000002
1,2,CCCV_Chg,2025-11-08 11:54:24.163,3.005552,49.998869,0.041,0.124594,150274.200721,0.0007,0.124594,0.0,0.041,0.0,0.027333333333333338
1,2,CCCV_Chg,2025-11-08 11:54:25.163,3.00843,49.998638,0.055,0.166359,150417.402518,0.0007,0.166359,0.0,0.055,0.0,0.03666666666666667
1,2,CCCV_Chg,2025-11-08 11:54:26.164,3.010982,49.999219,0.069,0.208166,150546.748423,0.0007,0.208166,0.0,0.069,0.0,0.046
1,2,CCCV_Chg,2025-11-08 11:54:27.163,3.013311,49.998165,0.083,0.249975,150660.020574,0.0007,0.249975,0.0,0.083,0.0,0.05533333333333334
1,2,CCCV_Chg,2025-11-08 11:54:28.163,3.01549,49.999585,0.097,0.291828,150773.248572,0.0007,0.291828,0.0,0.097,0.0,0.06466666666666668
1,2,CCCV_Chg,2025-11-08 11:54:29.164,3.017531,49.999227,0.11,0.33373,150874.217449,0.0007,0.33373,0.0,0.11,0.0,0.07333333333333333
1,2,CCCV_Chg,2025-11-08 11:54:30.161,3.019473,49.99915,0.124,0.375659,150971.083448,0.0007,0.3756589999999999,0.0,0.124,0.0,0.08266666666666667
1,2,CCCV_Chg,2025-11-08 11:54:31.162,3.021336,49.999396,0.138,0.417577,151064.975113,0.0007,0.417577,0.0,0.138,0.0,0.092
1,2,CCCV_Chg,2025-11-08 11:54:32.162,3.023109,49.998287,0.152,0.459594,151150.271414,0.0007,0.459594,0.0,0.152,0.0,0.10133333333333333
1,2,CCCV_Chg,2025-11-08 11:54:33.159,3.024834,49.99897,0.166,0.501578,151238.584421,0.0007,0.501578,0.0,0.166,0.0,0.11066666666666668
1,2,CCCV_Chg,2025-11-08 11:54:34.160,3.026506,49.998766,0.18,0.543614,151321.565292,0.0007,0.543614,0.0,0.18,0.0,0.12
1,2,CCCV_Chg,2025-11-08 11:54:35.162,3.028112,49.998765,0.194,0.58561,151401.860282,0.0007,0.58561,0.0,0.194,0.0,0.12933333333333336
1,2,CCCV_Chg,2025-11-08 11:54:36.161,3.029681,49.999227,0.208,0.627702,151481.708057,0.0007,0.627702,0.0,0.208,0.0,0.13866666666666666
1,2,CCCV_Chg,2025-11-08 11:54:37.160,3.031217,49.998762,0.222,0.669789,151557.097353,0.0007,0.669789,0.0,0.222,0.0,0.148
1,2,CCCV_Chg,2025-11-08 11:54:38.161,3.03272,49.998319,0.235,0.711902,151630.901998,0.0007,0.711902,0.0,0.235,0.0,0.15666666666666668
1,2,CCCV_Chg,2025-11-08 11:54:39.160,3.034185,49.998898,0.249,0.754027,151705.906328,0.0007,0.754027,0.0,0.249,0.0,0.16599999999999998
1,2,CCCV_Chg,2025-11-08 11:54:40.162,3.035608,49.999212,0.263,0.796143,151778.007941,0.0007,0.796143,0.0,0.263,0.0,0.17533333333333334
1,2,CCCV_Chg,2025-11-08 11:54:41.161,3.037011,49.999172,0.277,0.838345,151848.035355,0.0007,0.838345,0.0,0.277,0.0,0.18466666666666667
1,2,CCCV_Chg,2025-11-08 11:54:42.158,3.038396,49.998978,0.291,0.880501,151916.694759,0.0007,0.880501,0.0,0.291,0.0,0.19399999999999998
1,2,CCCV_Chg,2025-11-08 11:54:43.159,3.039744,49.999453,0.305,0.922732,151985.53726,0.0007,0.922732,0.0,0.305,0.0,0.20333333333333334
1,2,CCCV_Chg,2025-11-08 11:54:44.158,3.041068,49.998782,0.319,0.964982,152049.695979,0.0007,0.964982,0.0,0.319,0.0,0.21266666666666667
1,2,CCCV_Chg,2025-11-08 11:54:45.158,3.042372,49.998631,0.333,1.007189,152114.434993,0.0007,1.007189,0.0,0.333,0.0,0.22200000000000003
1,2,CCCV_Chg,2025-11-08 11:54:46.160,3.043663,49.998791,0.347,1.049461,152179.470211,0.0007,1.049461,0.0,0.347,0.0,0.2313333333333333
1,2,CCCV_Chg,2025-11-08 11:54:47.158,3.044937,49.999466,0.36,1.091708,152245.224004,0.0007,1.091708,0.0,0.36,0.0,0.24
1,2,CCCV_Chg,2025-11-08 11:54:48.151,3.046175,49.99878,0.374,1.134003,152305.033666,0.0007,1.134003,0.0,0.374,0.0,0.24933333333333332
1,2,CCCV_Chg,2025-11-08 11:54:49.150,3.047399,49.998685,0.388,1.176332,152365.94267,0.0007,1.1763320000000002,0.0,0.388,0.0,0.2586666666666667
1,2,CCCV_Chg,2025-11-08 11:54:50.149,3.048622,49.999141,0.402,1.218651,152428.481234,0.0007,1.2186510000000002,0.0,0.402,0.0,0.268
1,2,CCCV_Chg,2025-11-08 11:54:51.150,3.049813,49.998706,0.416,1.261019,152486.703542,0.0007,1.261019,0.0,0.416,0.0,0.2773333333333333
1,2,CCCV_Chg,2025-11-08 11:54:52.149,3.050983,49.999309,0.43,1.303395,152547.041771,0.0007,1.303395,0.0,0.43,0.0,0.2866666666666667
1,2,CCCV_Chg,2025-11-08 11:54:53.149,3.052144,49.998744,0.444,1.345761,152603.366507,0.0007,1.345761,0.0,0.444,0.0,0.296
1,2,CCCV_Chg,2025-11-08 11:54:54.148,3.053312,49.999156,0.458,1.388162,152663.023005,0.0007,1.388162,0.0,0.458,0.0,0.30533333333333335
1,2,CCCV_Chg,2025-11-08 11:54:55.150,3.054447,49.998826,0.472,1.430576,152718.764079,0.0007,1.430576,0.0,0.472,0.0,0.31466666666666665
1,2,CCCV_Chg,2025-11-08 11:54:56.149,3.055576,49.999419,0.485,1.472985,152777.02471,0.0007,1.472985,0.0,0.485,0.0,0.3233333333333333
1,2,CCCV_Chg,2025-11-08 11:54:57.149,3.056685,49.99912,0.499,1.515446,152831.560117,0.0007,1.5154459999999998,0.0,0.499,0.0,0.33266666666666667
