cell_suffix,abs_max_cap_step4,dcir_02,dcir_05,dcir_09,cluster
0372,146.982,0.0015105043552875,0.0013382694993371,0.001547324325922,2
0373,151.92,0.0011032709878113,0.0009685863359509,0.0010857705392482,1
0374,148.844,0.0012247703613905,0.0005749745474377,0.0012865544386128,0
0375,147.83,0.0014813041476516,0.0006549001331469,0.0015486575884221,2
0376,149.184,0.0011262529657994,0.0010324533554734,0.0011476878667004,1
0377,152.211,0.001074470642208,0.0008613862333336,0.0010620038232137,1
0378,148.283,0.0012270363395723,0.000622929250292,0.0012225547679635,0
0379,146.825,0.0013658868846392,0.0008476848815128,0.0013814732056398,2
0380,146.967,0.0012790882578231,0.0010705038716556,0.0012732383838455,2
0381,148.965,0.0012481205150382,0.0010516368212621,0.0012655052518467,2
0382,148.709,0.0013045529569866,0.0010919191416833,0.0012948689758496,2
0383,151.54,0.0010252203061987,0.0008749196268114,0.0009926207860429,1
0384,152.181,0.0011969313184989,0.0009451691713649,0.0011616620038407,1
0385,153.648,0.0010366036626662,0.0008898188763835,0.0009957883620645,1
0386,148.716,0.0011568205612958,0.0009371024052295,0.0011435875074277,1
0387,149.103,0.0011506707323699,0.0009469364108766,0.0011448200438857,1
0388,152.427,0.0012141874210976,0.0009974859766711,0.0011553883977858,1
0389,149.089,0.001103070122953,0.0009350865437971,0.0010804709525347,1
0390,153.118,0.0001152116210121,0.0009420507850423,0.0011330018883364,3
0391,151.805,0.0012451548976092,0.0010299357021854,0.0012341218499784,2
0392,151.425,0.0012896204495533,0.0010805698903668,0.0013388560025377,2
0393,151.051,0.0012856541140931,0.0010655702363269,0.0012584389963088,2
0394,151.866,0.0001962529128322,0.0010144855144771,0.0012211537652241,3
0395,153.539,0.001242120724261,0.0004610622042437,0.0012359339513003,0
0396,149.747,0.0013476037957506,0.0011492025090921,0.0013585891752667,2
0397,146.345,0.0014257038731621,0.0009613478491885,0.0014347055953518,2
0398,151.337,0.0011042540673358,0.0008797526539205,0.0010747710015763,1
0399,147.006,0.0011547850840259,0.0009041765981835,0.0011132323685319,1
0400,153.5,0.0012020452335811,0.0009317196947556,0.0011327382418657,1
0401,153.35,0.0011228856539636,0.0009006855400129,0.001095270992987,1
0402,150.847,0.0013082883484386,0.0002667932926372,0.0012727546243418,0
0403,149.634,0.00119517013266,0.000951435521635,0.0011365535801437,1
0404,153.902,0.0010390196625066,0.0004497950469739,0.0009999869166197,0
0405,144.052,0.0010608537483499,0.0009660709495812,0.0010389709610799,1
0406,149.832,0.0011954861626505,0.0009701372785582,0.0011623880797513,1
0407,152.792,0.0012503525423835,0.0010013037715775,0.0011597370831499,1
0408,151.094,0.0011462705066728,0.0009088855903992,0.00110238118369,1
0409,150.096,0.0011325868821055,0.0009597530552138,0.0010781872687168,1
0410,153.611,0.0011992535178103,0.0004591965778395,0.0012002544409414,0
0411,151.313,0.0010445367280777,0.0008206694706206,0.0010214548519105,1
0412,152.071,0.0011658700088273,0.0009345319315354,0.001145071132444,1
0413,154.377,0.0010810705765385,0.0009044865442605,0.0010360196193225,1
0414,153.637,0.001026120121271,0.000887851361372,0.0010007373196036,1
0415,152.318,0.0012236879629527,0.0009727696984655,0.0011788379308012,1
0416,147.872,0.0013340556030335,0.0010909032727098,0.001291954823298,2
0417,151.82,0.0012572199354384,0.0010263693523331,0.0012153213456538,2
0418,151.824,0.0012012373774991,0.0009697860325711,0.0011672711995698,1
0419,149.752,0.0011870534622392,0.0009350194249739,0.0011291056831652,1
0420,150.468,0.0012819538885934,0.0010180525451313,0.0012121879800539,2
0421,145.214,0.0010346529832494,0.000974535233677,0.0009740536527011,1
0422,149.329,0.0012476879913684,0.0010031018891752,0.0012017381002277,2
0423,150.608,0.00115500340726,0.0008967681612802,0.001075902887006,1
0424,149.512,0.0012561032449333,0.0005885260097059,0.0011905879964696,0
0425,148.926,0.0010070360187627,0.0009281862261804,0.0009785711354748,1
0426,152.8,0.0012184203625417,0.000652881465152,0.0011676877316237,0
0427,151.677,0.0011306540515103,0.0009440698293005,0.0010634711686946,1
0428,149.236,0.00132430333283,0.0010531210897752,0.0012464881738624,2
0429,149.365,0.0012484046607107,0.0010205859188176,0.001215288579329,2
0430,147.977,0.0010665848798814,0.0009583358729233,0.0010515709430551,1
0431,150.679,0.0011317533009471,0.0008781686279099,0.0010544694082871,1
0432,151.068,0.0011823537244142,0.0009277030614201,0.001098769578406,1
0433,145.931,0.0010626369285882,0.0009812202971817,0.0010331877932606,1
0434,147.136,0.0010915033290851,0.0008666858178326,0.001056588352128,1
0435,150.099,0.001139238099146,0.0008875196250654,0.0010688710312233,1
0436,154.454,0.0009965729782955,0.0008789361459289,0.0009411709019357,1
0437,151.987,0.001026335711011,0.0008002181070592,0.0009900212042638,1
0438,149.99,0.001174503915013,0.0009503196284961,0.0011505051389229,1
0439,148.812,0.0011229040611696,0.0005390536807623,0.0010710878676053,0
0440,148.217,0.001366187522975,0.0006083441677501,0.0013235574780997,0
0441,151.231,0.0011912709353875,0.0009500692793571,0.0011313708338825,1
