cell_id,V4,V5,I4,I5,V6,V7,I6,I7,V8,V9,I8,I9,dcir_09,dcir_05,dcir_02
PR_LFP_DCIR_REPT_UL1974_150_0415_0_100,3.34,3.26927,-14.999088,-74.998854,3.3,3.241634,-14.999119,-74.998932,3.25,3.176579,-14.999154,-74.998927,0.0011788379308012593,0.0009727696984655589,0.0012236879629527963
PR_LFP_DCIR_REPT_UL1974_150_0416_0_100,3.34,3.262483,-14.999122,-74.998898,3.3,3.234546,-14.999143,-74.998963,3.25,3.169957,-14.99919,-74.998938,0.0012919548232980043,0.0010909032727098166,0.0013340556030335305
PR_LFP_DCIR_REPT_UL1974_150_0417_0_100,3.339999,3.26708,-14.999116,-74.998885,3.3,3.238418,-14.999147,-74.99899,3.25,3.174567,-14.999122,-74.998966,0.0012153213456538505,0.0010263693523331389,0.0012572199354384966
PR_LFP_DCIR_REPT_UL1974_150_0418_0_100,3.34,3.269964,-14.999112,-74.998879,3.3,3.241813,-14.999117,-74.99895,3.249999,3.177925,-14.999145,-74.998943,0.0011672711995698247,0.0009697860325711202,0.0012012373774991669
PR_LFP_DCIR_REPT_UL1974_150_0419_0_100,3.339999,3.272253,-14.999142,-74.99884,3.299999,3.243898,-14.999156,-74.998979,3.25,3.178777,-14.999128,-74.998953,0.0011291056831652733,0.0009350194249739695,0.0011870534622392618
PR_LFP_DCIR_REPT_UL1974_150_0420_0_100,3.34,3.267269,-14.999113,-74.998883,3.3,3.238917,-14.999117,-74.998967,3.249998,3.173081,-14.999121,-74.998939,0.0012121879800539178,0.001018052545131363,0.001281953888593468
PR_LFP_DCIR_REPT_UL1974_150_0421_0_100,3.34,3.281557,-14.999086,-74.998861,3.3,3.241528,-14.999086,-74.998969,3.25,3.187921,-14.999107,-74.998934,0.0009740536527011979,0.0009745352336770328,0.0010346529832494385
PR_LFP_DCIR_REPT_UL1974_150_0422_0_100,3.339997,3.267893,-14.999131,-74.998893,3.3,3.239814,-14.999128,-74.999015,3.25,3.175139,-14.999164,-74.99894,0.0012017381002277967,0.0010031018891752221,0.0012476879913684985
PR_LFP_DCIR_REPT_UL1974_150_0423_0_100,3.34,3.275446,-14.999131,-74.99897,3.3,3.246194,-14.999094,-74.998994,3.249999,3.180699,-14.999144,-74.998967,0.0010759028870060763,0.0008967681612802654,0.0011550034072600466
PR_LFP_DCIR_REPT_UL1974_150_0424_0_100,3.339999,3.268564,-14.999142,-74.998907,3.291692,3.256384,-15.005006,-74.998956,3.25,3.174634,-14.999125,-74.99897,0.001190587996469655,0.0005885260097059731,0.0012561032449333797
PR_LFP_DCIR_REPT_UL1974_150_0425_0_100,3.339999,3.281285,-14.999157,-74.998883,3.3,3.244309,-14.999114,-74.998927,3.25,3.189578,-14.999127,-74.998967,0.0009785711354748543,0.000928186226180404,0.0010070360187627164
PR_LFP_DCIR_REPT_UL1974_150_0426_0_100,3.34,3.269939,-14.999165,-74.998939,3.297786,3.258617,-15.004928,-74.998973,3.25,3.176895,-14.999096,-74.998914,0.001167687731623788,0.0006528814651520794,0.001218420362541766
PR_LFP_DCIR_REPT_UL1974_150_0427_0_100,3.34,3.276192,-14.999104,-74.99885,3.3,3.243356,-14.999134,-74.998933,3.25,3.182161,-14.999153,-74.998938,0.001063471168694612,0.0009440698293005935,0.0011306540515103548
PR_LFP_DCIR_REPT_UL1974_150_0428_0_100,3.339998,3.265209,-14.999119,-74.998886,3.3,3.236813,-14.99914,-74.998888,3.25,3.170542,-14.999088,-74.998937,0.0012464881738624084,0.0010531210897752382,0.001324303332830051
PR_LFP_DCIR_REPT_UL1974_150_0429_0_100,3.339999,3.267082,-14.99912,-74.998861,3.3,3.238765,-14.99912,-74.998968,3.249998,3.175094,-14.999108,-74.998884,0.0012152885793290397,0.0010205859188176596,0.0012484046607107347
PR_LFP_DCIR_REPT_UL1974_150_0430_0_100,3.339998,3.276904,-14.999117,-74.998873,3.3,3.2425,-14.999121,-74.998962,3.25,3.186005,-14.999067,-74.99898,0.001051570943055168,0.000958335872923391,0.0010665848798814058
PR_LFP_DCIR_REPT_UL1974_150_0431_0_100,3.339995,3.276727,-14.99912,-74.998964,3.3,3.24731,-14.999153,-74.999019,3.249999,3.182094,-14.999131,-74.998956,0.0010544694082871263,0.0008781686279099302,0.001131753300947122
PR_LFP_DCIR_REPT_UL1974_150_0432_0_100,3.339998,3.274072,-14.999081,-74.998922,3.3,3.244338,-14.999132,-74.998934,3.25,3.179059,-14.999122,-74.998933,0.001098769578406052,0.0009277030614201007,0.0011823537244142308
PR_LFP_DCIR_REPT_UL1974_150_0433_0_100,3.339999,3.278008,-14.999159,-74.9989,3.299998,3.241125,-14.999143,-74.998921,3.25,3.186242,-14.999137,-74.998934,0.0010331877932606467,0.0009812202971817693,0.0010626369285882747
PR_LFP_DCIR_REPT_UL1974_150_0434_0_100,3.339999,3.276604,-14.999134,-74.998849,3.3,3.247999,-14.999122,-74.99895,3.25,3.18451,-14.999144,-74.998961,0.001056588352128011,0.0008666858178326736,0.0010915033290851547
PR_LFP_DCIR_REPT_UL1974_150_0435_0_100,3.339999,3.275867,-14.999115,-74.99887,3.299999,3.246748,-14.99914,-74.99894,3.249999,3.181645,-14.999139,-74.998888,0.0010688710312233827,0.0008875196250654157,0.001139238099146045
PR_LFP_DCIR_REPT_UL1974_150_0436_0_100,3.339998,3.283528,-14.999096,-74.998826,3.3,3.247264,-14.999109,-74.998917,3.25,3.190206,-14.999133,-74.998753,0.0009411709019357258,0.0008789361459289986,0.0009965729782955314
PR_LFP_DCIR_REPT_UL1974_150_0437_0_100,3.339999,3.280598,-14.999118,-74.998843,3.3,3.251987,-14.999068,-74.99896,3.25,3.18842,-14.999094,-74.998955,0.0009900212042638571,0.0008002181070592534,0.001026335711011067
PR_LFP_DCIR_REPT_UL1974_150_0438_0_100,3.339999,3.270969,-14.999138,-74.99887,3.299999,3.24298,-14.999139,-74.998952,3.25,3.17953,-14.999141,-74.998941,0.0011505051389229565,0.0009503196284961743,0.0011745039150130468
PR_LFP_DCIR_REPT_UL1974_150_0439_0_100,3.34,3.275735,-14.999123,-74.998869,3.296577,3.264237,-15.004917,-74.998942,3.25,3.182626,-14.99914,-74.998923,0.0010710878676053028,0.0005390536807623765,0.0011229040611696885
PR_LFP_DCIR_REPT_UL1974_150_0440_0_100,3.34,3.260587,-14.999148,-74.998809,3.284682,3.248185,-15.004964,-74.998964,3.25,3.168029,-14.999109,-74.998925,0.001323557478099747,0.0006083441677501121,0.0013661875229750672
PR_LFP_DCIR_REPT_UL1974_150_0441_0_100,3.339998,3.272116,-14.999106,-74.998885,3.3,3.242996,-14.999144,-74.998979,3.25,3.178524,-14.99914,-74.998925,0.0011313708338825713,0.0009500692793571783,0.00119127093538752
