cell_file,Point,Target time,Recorded time,volt(V),% change vs end
PR_LFP_SelfDischarge_REPT_150_0310_0_100,End + 24 hr,2025-11-15 15:59:56.044,2025-11-15 15:59:56.498,3.385952,-7.234674668816787
PR_LFP_SelfDischarge_REPT_150_0311_0_100,End of charge,2025-11-14 16:03:34.254,2025-11-14 16:03:34.254,3.650018,0.0
PR_LFP_SelfDischarge_REPT_150_0311_0_100,End + 5 min,2025-11-14 16:08:34.254,2025-11-14 16:08:34.813,3.53485,-3.1552721109868545
PR_LFP_SelfDischarge_REPT_150_0311_0_100,End + 1 hr,2025-11-14 17:03:34.254,2025-11-14 17:03:34.703,3.452501,-5.411397971188098
PR_LFP_SelfDischarge_REPT_150_0311_0_100,End + 24 hr,2025-11-15 16:03:34.254,2025-11-15 16:03:34.815,3.398961,-6.878240052514818
PR_LFP_SelfDischarge_REPT_150_0312_0_100,End of charge,2025-11-14 16:05:09.024,2025-11-14 16:05:09.024,3.650014,0.0
PR_LFP_SelfDischarge_REPT_150_0312_0_100,End + 5 min,2025-11-14 16:10:09.024,2025-11-14 16:10:09.649,3.535277,-3.1434673949195897
PR_LFP_SelfDischarge_REPT_150_0312_0_100,End + 1 hr,2025-11-14 17:05:09.024,2025-11-14 17:05:09.435,3.439372,-5.77099156332003
PR_LFP_SelfDischarge_REPT_150_0312_0_100,End + 24 hr,2025-11-15 16:05:09.024,2025-11-15 16:05:09.938,3.358981,-7.973476266118435
PR_LFP_SelfDischarge_REPT_150_0313_0_100,End of charge,2025-11-14 16:00:25.162,2025-11-14 16:00:25.162,3.650008,0.0
PR_LFP_SelfDischarge_REPT_150_0313_0_100,End + 5 min,2025-11-14 16:05:25.162,2025-11-14 16:05:25.864,3.542474,-2.9461305290289843
PR_LFP_SelfDischarge_REPT_150_0313_0_100,End + 1 hr,2025-11-14 17:00:25.162,2025-11-14 17:00:26.051,3.472301,-4.868674260439985
PR_LFP_SelfDischarge_REPT_150_0313_0_100,End + 24 hr,2025-11-15 16:00:25.162,2025-11-15 16:00:26.009,3.420716,-6.281958834062832
PR_LFP_SelfDischarge_REPT_150_0314_0_100,End of charge,2025-11-14 16:03:31.210,2025-11-14 16:03:31.210,3.650017,0.0
PR_LFP_SelfDischarge_REPT_150_0314_0_100,End + 5 min,2025-11-14 16:08:31.210,2025-11-14 16:08:31.793,3.540297,-3.0060133966499403
