cell_id,count,mean,std,min,max
PR_LFP_RPT_REPT_150_0344_0.333C_0.333D_0_100,30,9.33333333345369e-07,1.172481404393258e-06,0.0,4.999999999810711e-06
PR_LFP_RPT_REPT_150_0345_0.333C_0.333D_0_100,30,1.366666666665258e-06,1.5421286974383392e-06,0.0,5.999999999950489e-06
PR_LFP_RPT_REPT_150_0346_0.333C_0.333D_0_100,30,1.2999999999892728e-06,1.3683617186521065e-06,0.0,4.999999999810711e-06
PR_LFP_RPT_REPT_150_0347_0.333C_0.333D_0_100,30,1.0333333333445438e-06,1.2172137016140197e-06,0.0,4.000000000115023e-06
PR_LFP_RPT_REPT_150_0348_0.333C_0.333D_0_100,30,6.999999999942237e-07,7.022132498665502e-07,0.0,2.000000000279556e-06
PR_LFP_RPT_REPT_150_0349_0.333C_0.333D_0_100,30,7.333333333322163e-07,1.0148325268179065e-06,0.0,4.000000000115023e-06
PR_LFP_RPT_REPT_150_0350_0.333C_0.333D_0_100,30,8.333333333313912e-07,1.147210509921537e-06,0.0,5.000000000254801e-06
PR_LFP_RPT_REPT_150_0351_0.333C_0.333D_0_100,30,8.000000000082016e-07,1.0635010497491496e-06,0.0,4.000000000115023e-06
PR_LFP_RPT_REPT_150_0352_0.333C_0.333D_0_100,30,8.999999999925734e-07,1.422722014646657e-06,0.0,5.999999999950489e-06
PR_LFP_RPT_REPT_150_0353_0.333C_0.333D_0_100,30,1.099999999990923e-06,1.2415229801694219e-06,0.0,4.000000000115023e-06
PR_LFP_RPT_REPT_150_0354_0.333C_0.333D_0_100,30,6.666666666710341e-07,7.580980435838699e-07,0.0,2.9999999999752447e-06
PR_LFP_RPT_REPT_150_0355_0.333C_0.333D_0_100,30,6.999999999942237e-07,1.0875470659469031e-06,0.0,4.999999999810711e-06
PR_LFP_RPT_REPT_150_0356_0.333C_0.333D_0_100,30,8.333333333461941e-07,1.3152509484848727e-06,0.0,5.999999999950489e-06
PR_LFP_RPT_REPT_150_0357_0.333C_0.333D_0_100,30,6.000000000098519e-07,7.239737087960269e-07,0.0,2.9999999999752447e-06
PR_LFP_RPT_REPT_150_0358_0.333C_0.333D_0_100,30,5.333333333338668e-07,6.814453874814045e-07,0.0,2.000000000279556e-06
PR_LFP_RPT_REPT_150_0359_0.333C_0.333D_0_100,30,6.666666666562312e-07,6.608945522664094e-07,0.0,2.000000000279556e-06
PR_LFP_RPT_REPT_150_0360_0.333C_0.333D_0_100,30,1.4999999999876223e-06,2.7386127875032323e-06,0.0,1.09999999997612e-05
PR_LFP_RPT_REPT_150_0361_0.333C_0.333D_0_100,30,8.333333333313912e-07,9.498941259802228e-07,0.0,2.9999999999752447e-06
PR_LFP_RPT_REPT_150_0362_0.333C_0.333D_0_100,30,1.533333333340418e-06,2.255007199838176e-06,0.0,1.0000000000065512e-05
PR_LFP_RPT_REPT_150_0363_0.333C_0.333D_0_100,30,1.266666666666083e-06,2.303420744523878e-06,0.0,1.1999999999900979e-05
PR_LFP_RPT_REPT_150_0364_0.333C_0.333D_0_100,30,7.66666666670209e-07,8.172001541655409e-07,0.0,2.9999999999752447e-06
PR_LFP_RPT_REPT_150_0365_0.333C_0.333D_0_100,30,7.66666666670209e-07,8.583598366820541e-07,0.0,4.000000000115023e-06
PR_LFP_RPT_REPT_150_0366_0.333C_0.333D_0_100,30,7.333333333322163e-07,9.802650356900073e-07,0.0,2.9999999999752447e-06
PR_LFP_RPT_REPT_150_0367_0.333C_0.333D_0_100,30,6.666666666710341e-07,8.840866447219907e-07,0.0,2.9999999999752447e-06
PR_LFP_RPT_REPT_150_0368_0.333C_0.333D_0_100,30,6.666666666710341e-07,1.1244411127385194e-06,0.0,4.999999999810711e-06
PR_LFP_RPT_REPT_150_0369_0.333C_0.333D_0_100,30,6.333333333330415e-07,7.18395402295026e-07,0.0,2.9999999999752447e-06
PR_LFP_RPT_REPT_150_0370_0.333C_0.333D_0_100,30,7.333333333322163e-07,9.071871393137506e-07,0.0,2.9999999999752447e-06
PR_LFP_RPT_REPT_150_0371_0.333C_0.333D_0_100,30,5.333333333338668e-07,6.288102248365736e-07,0.0,2.000000000279556e-06
